Alabama ,9
Alaska ,3
Arizona ,11
Arkansas ,6
Californie ,55
Caroline du Nord ,15
Caroline du Sud ,9
Colorado ,9
Connecticut ,7
Dakota du Nord ,3
Dakota du Sud ,3
Delaware ,3
Floride ,29
Georgie ,16
Hawaii ,4
Idaho ,4
Illinois ,20
Indiana ,11
Iowa ,6
Kansas ,6
Kentucky ,8
Louisiane ,8
Maine ,4
Maryland ,10
Massachusetts ,11
Michigan ,16
Minnesota ,10
Mississippi ,6
Missouri ,10
Montana ,3
Nebraska ,5
Nevada ,6
New Hampshire ,4
New Jersey ,15
New York ,29
Nouveau-Mexique ,5
Ohio ,18
Oklahoma ,7
Oregon ,7
Pennsylvanie ,20
Rhode Island ,4
Tennessee ,11
Texas ,38
Utah ,6
Vermont ,3
Virginie ,13
Virginie-Occidentale ,5
Washington ,12
Washington  D.C. ,3
Wisconsin ,10
Wyoming ,3
